,Rank,2021,2021.1,2014,2014.1,2013,2013.1,2012,2012.1,2011,2011.1,2010,2010.1,2009,2009.1,2008,2008.1,2007,2007.1,2006,2006.1
0,1,United States,23393117,United States,17611491,United States,17001290,United States,16501016,United States,15727291,United States,15143137,United States,14740580,United States,15002428,United States,14651211,United States,14345565
1,2,China,17576648,China,10096966,China,9110333,China,7934721,China,6726270,China,5752320,China,4856999,Japan,4835553,Japan,4812119,Japan,4931413
2,3,Japan,5124619,Japan,5339076,Japan,5899905,Japan,6101579,Japan,5775633,Japan,5376601,Japan,4797984,China,4070860,Germany,3348291,Germany,3160529
3,4,Germany,4350736,Germany,3853623,Germany,3809927,Germany,3754154,Germany,3801607,Germany,3662524,Germany,3588452,Germany,3601765,China,3283519,China,2685206
4,5,United Kingdom,3170239,France,2844284,France,2869883,France,2824713,France,2889304,France,2847703,France,2831553,United Kingdom,2904224,United Kingdom,2835805,United Kingdom,2645489
5,6,India,3123967,United Kingdom,2801499,United Kingdom,2695974,United Kingdom,2612525,United Kingdom,2542593,United Kingdom,2540957,United Kingdom,2666939,France,2800864,France,2576642,France,2414820
6,7,France,3002339,Brazil,2429720,Brazil,2486874,Brazil,2432061,Italy,2237958,Italy,2234508,Italy,2227358,Italy,2222143,Italy,2093640,Italy,1989288
7,8,Italy,2125095,Italy,2147247,Italy,2130760,Italy,2143583,Brazil,2207921,Brazil,1916260,Brazil,1572431,Spain,1490975,Canada,1356017,Spain,1241641
8,9,Canada,1975687,India,2027964,Russia,1981791,India,1892548,India,1755712,India,1555615,Spain,1519339,Canada,1484345,Spain,1353031,Canada,1224994
9,10,South Korea,1820500,Russia,1930634,India,1952847,Russia,1823299,Canada,1617083,Canada,1511465,Canada,1447937,Brazil,1427429,Brazil,1152772,South Korea,966585
10,11,Russia,1732532,Canada,1785099,Canada,1848274,Canada,1773264,Russia,1547010,Spain,1496363,India,1392779,Russia,1368593,India,1117463,India,941326
11,12,Brazil,1558511,Australia,1444201,Australia,1514269,Spain,1396221,Spain,1455758,Russia,1425123,Russia,1318495,India,1229139,South Korea,1091726,Mexico,921879
12,13,Australia,1528228,Spain,1366027,Spain,1376929,Australia,1359417,South Korea,1125787,South Korea,1053302,South Korea,1037381,South Korea,1118647,Russia,1079991,Brazil,898063
13,14,Spain,1432586,South Korea,1365797,South Korea,1298958,South Korea,1232164,Australia,1119902,Mexico,1026316,Mexico,988663,Mexico,1074555,Mexico,1000700,Russia,830146
14,15,Mexico,1260700,Mexico,1237533,Mexico,1202800,Mexico,1167292,Mexico,1068140,Australia,1025186,Australia,954754,Australia,900062,Netherlands,809106,Netherlands,753205
